query,prediction
What is the name of the college,no
Tell me about the department,no
You are not correct,yes
I don't agree with you,yes
Who is the principal,no
That answer is wrong,yes
I think you made a mistake,yes
Where is the college located,no
Explain about the course,no
I do not understand,yes
Give me information about college rules,no
Tell me about the history of the college,no
Who is the current correspondent of the college,no
List the UG programs available,no
List the PG programs available,no
What are the PhD programs offered,no
What are the self-financing courses,no
Give details about certificate programs,no
What diploma programs are available,no
Tell me about the infrastructure of the college,no
What are the sports facilities available,no
How can I apply for scholarships,no
What are the eligibility criteria for admission,no
Explain about the NCC program,no
What is the attendance requirement,no
How do I apply for hostel facilities,no
Give me details about the examination process,no
Who are the members of the college council,no
Explain about the placement cell,no
Tell me about student support services,no
How can I contact the principal,no
Give me the list of co-curricular activities,no
What are the extra-curricular activities,no
Tell me about the research opportunities,no
What are the lab facilities available,no
How many books are available in the library,no
Explain about the hostel rules,no
What is the fee structure,no
Where can I find the college website,no
Tell me about the teaching staff,no
Give me details about the daily prayers,no
Who founded the college,no
Explain the college motto,no
Tell me about the college anthem,no
I think you are wrong about the rules,yes
Your response is incorrect,yes
That is not the right answer,yes
I need clarification on the information provided,yes
This information is incorrect,yes
You are giving false details,yes
are you mad,yes
